Date,Source,Production,Start_Hour,End_Hour,Day_of_Year
12/18/2022,Wind,11400,21,22,352
1/29/2024,Wind,7917,14,15,29
8/1/2024,Solar,8835,15,16,214
11/10/2020,Wind,989,1,2,315
12/19/2022,Wind,12526,1,2,353
10/18/2024,Solar,4855,13,14,292
4/10/2020,Solar,3692,17,18,101
1/25/2023,Wind,2156,0,1,25
12/12/2021,Wind,5813,12,13,346
10/11/2020,Wind,6106,13,14,285
1/8/2024,Wind,5515,23,0,8
1/8/2020,Wind,2785,18,19,8
1/29/2022,Wind,8498,20,21,29
6/2/2021,Solar,5561,15,16,153
6/11/2024,Wind,2328,7,8,163
6/5/2020,Wind,6664,21,22,157
5/2/2021,Solar,4993,13,14,122
1/13/2022,Wind,3276,0,1,13
7/24/2020,Wind,1739,3,4,206
8/29/2024,Wind,2083,5,6,242
1/3/2024,Wind,17272,0,1,3
4/2/2024,Wind,12285,2,3,93
7/29/2020,Solar,3480,16,17,211
11/5/2024,Wind,1690,6,7,310
10/24/2022,Wind,11508,8,9,297
2/27/2023,Wind,15692,10,11,58
4/2/2020,Solar,4169,15,16,93
5/13/2020,Wind,3174,3,4,134
11/22/2023,Wind,7314,14,15,326
9/11/2021,Solar,4969,11,12,254
4/7/2025,Solar,9862,15,16,97
7/27/2025,Wind,3862,22,23,208
3/11/2021,Wind,16144,13,14,70
4/30/2022,Solar,8188,16,17,120
1/19/2023,Wind,1710,23,0,19
9/11/2022,Wind,472,4,5,254
9/25/2021,Solar,3402,16,17,268
8/8/2020,Solar,3996,12,13,221
6/8/2021,Wind,1148,1,2,159
6/10/2024,Wind,4062,21,22,162
6/18/2020,Wind,1443,0,1,170
5/30/2023,Wind,13363,17,18,150
2/17/2022,Wind,15609,1,2,48
5/11/2022,Wind,8878,19,20,131
5/7/2024,Wind,2974,7,8,128
11/22/2025,Wind,12324,12,13,326
4/9/2021,Wind,5279,21,22,99
12/24/2021,Wind,3872,11,12,358
3/11/2023,Wind,6406,12,13,70
8/13/2021,Solar,5323,13,14,225
2/1/2021,Wind,7166,15,16,32
9/11/2023,Solar,7117,13,14,254
7/1/2020,Wind,5874,13,14,183
3/10/2025,Solar,4807,9,10,69
6/23/2023,Solar,7976,15,16,174
2/9/2023,Solar,5168,13,14,40
5/24/2020,Wind,4384,0,1,145
7/26/2021,Wind,1465,23,0,207
9/28/2020,Wind,3962,6,7,272
8/25/2021,Wind,6786,0,1,237
12/16/2021,Wind,5553,14,15,350
3/11/2022,Wind,10557,22,23,70
4/13/2020,Wind,10961,17,18,104
10/4/2022,Wind,2160,23,0,277
6/12/2025,Wind,8382,1,2,163
8/18/2022,Solar,3688,10,11,230
10/25/2025,Wind,8209,18,19,298
10/24/2023,Wind,6448,22,23,297
10/13/2021,Wind,2194,18,19,286
7/19/2025,Wind,10173,11,12,200
6/1/2021,Wind,5221,5,6,152
6/30/2022,Wind,2181,22,23,181
1/4/2020,Wind,3143,5,6,4
4/23/2020,Wind,2541,3,4,114
9/19/2021,Wind,4133,9,10,262
2/1/2021,Wind,5020,5,6,32
7/8/2022,Wind,3748,8,9,189
7/8/2025,Solar,13125,13,14,189
7/7/2021,Solar,5096,14,15,188
1/22/2020,Wind,4074,15,16,22
6/28/2025,Solar,7681,17,18,179
2/25/2021,Wind,4820,3,4,56
5/22/2021,Wind,10961,17,18,142
2/16/2022,Wind,14822,5,6,47
6/22/2023,Wind,3376,4,5,173
6/18/2022,Wind,8199,22,23,169
6/8/2022,Wind,10512,15,16,159
12/1/2022,Wind,3869,3,4,335
4/17/2023,Wind,10404,16,17,107
12/9/2020,Wind,3334,9,10,344
2/7/2023,Wind,5042,18,19,38
9/28/2020,Wind,4228,20,21,272
2/12/2023,Solar,5718,15,16,43
11/23/2023,Wind,2948,2,3,327
12/12/2024,Wind,3528,19,20,347
5/11/2025,Wind,7504,1,2,131
5/30/2024,Wind,8561,19,20,151
7/29/2024,Solar,8215,16,17,211
8/27/2024,Wind,3000,23,0,240
11/13/2021,Wind,5084,9,10,317
9/20/2021,Wind,3112,19,20,263
2/13/2023,Solar,6722,12,13,44
11/14/2020,Wind,4362,2,3,319
1/29/2025,Wind,18199,0,1,29
3/2/2022,Wind,2961,4,5,61
6/6/2025,Wind,7448,16,17,157
7/15/2025,Wind,3144,2,3,196
5/15/2022,Solar,9252,15,16,135
6/6/2024,Solar,7935,16,17,158
12/1/2020,Wind,7577,6,7,336
2/1/2020,Wind,10073,20,21,32
12/5/2022,Wind,723,7,8,339
11/2/2021,Wind,1723,17,18,306
3/30/2024,Solar,7864,15,16,90
5/7/2020,Solar,4403,14,15,128
7/22/2024,Wind,3323,4,5,204
1/23/2022,Wind,3658,23,0,23
4/16/2024,Wind,14410,8,9,107
2/2/2021,Wind,9228,17,18,33
4/6/2025,Solar,8484,12,13,96
10/24/2025,Wind,12993,20,21,297
9/12/2024,Wind,4668,19,20,256
6/1/2021,Wind,3220,20,21,152
6/10/2022,Wind,2337,4,5,161
5/12/2024,Wind,3727,4,5,133
11/1/2025,Wind,13837,1,2,305
5/29/2022,Solar,7338,9,10,149
8/30/2023,Wind,7641,18,19,242
4/29/2023,Wind,2453,20,21,119
5/22/2022,Solar,5188,15,16,142
8/12/2022,Solar,8910,12,13,224
8/31/2020,Solar,4731,13,14,244
9/17/2020,Wind,5365,1,2,261
5/13/2023,Solar,7155,10,11,133
10/16/2021,Solar,4121,15,16,289
1/4/2022,Wind,6398,8,9,4
11/10/2024,Wind,2532,22,23,315
4/25/2022,Wind,2493,21,22,115
5/14/2021,Wind,7152,11,12,134
