Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2/4/2008,0.288,0.000,240.170,1.200,0.000,1.000,0.000
12/11/2007,1.360,0.056,239.770,5.600,0.000,0.000,18.000
4/8/2007,0.310,0.100,237.680,1.400,0.000,0.000,0.000
1/9/2007,1.810,0.368,242.450,7.600,0.000,2.000,0.000
18/11/2007,1.932,0.480,245.560,8.000,1.000,1.000,19.000
16/5/2007,0.296,0.082,239.000,1.200,0.000,0.000,0.000
26/10/2007,0.880,0.088,243.610,3.800,0.000,0.000,0.000
11/11/2008,2.584,0.000,239.070,10.800,1.000,0.000,18.000
3/11/2008,0.456,0.212,242.550,2.000,0.000,1.000,0.000
4/7/2007,0.334,0.172,242.300,1.600,0.000,1.000,0.000
26/10/2008,0.284,0.050,242.680,1.200,0.000,0.000,0.000
2/8/2008,0.214,0.090,236.690,1.000,0.000,0.000,1.000
11/9/2007,0.110,0.000,242.130,0.600,0.000,0.000,0.000
17/6/2007,0.196,0.092,238.730,0.800,0.000,0.000,0.000
19/11/2008,0.480,0.000,239.260,2.000,0.000,4.000,0.000
30/4/2007,1.046,0.372,237.130,4.600,0.000,4.000,0.000
28/9/2007,0.330,0.120,244.170,1.400,0.000,0.000,0.000
18/10/2008,1.622,0.046,236.970,6.800,0.000,0.000,17.000
5/10/2007,0.300,0.072,239.780,1.200,0.000,0.000,0.000
24/12/2006,1.718,0.000,245.520,8.000,0.000,0.000,0.000
5/11/2007,1.328,0.000,242.870,5.400,0.000,0.000,19.000
10/7/2008,0.244,0.144,240.050,1.200,0.000,0.000,0.000
29/6/2008,0.320,0.000,242.180,1.600,0.000,0.000,0.000
8/2/2008,1.854,0.224,238.510,7.800,0.000,2.000,0.000
26/4/2008,0.552,0.000,244.330,2.200,0.000,0.000,0.000
25/2/2008,0.240,0.000,236.160,1.000,0.000,0.000,0.000
11/7/2008,0.266,0.194,240.490,1.400,0.000,1.000,1.000
20/2/2008,2.722,0.222,241.940,11.200,38.000,1.000,0.000
24/3/2007,4.136,0.364,239.870,17.200,1.000,37.000,17.000
17/11/2008,0.416,0.092,244.590,1.800,0.000,0.000,0.000
6/2/2007,0.496,0.000,243.410,2.400,0.000,0.000,0.000
24/6/2008,2.212,0.238,233.100,10.200,0.000,2.000,17.000
2/1/2008,1.504,0.086,237.830,6.200,0.000,0.000,18.000
18/12/2006,3.264,0.076,233.280,14.000,0.000,0.000,17.000
24/10/2008,3.362,0.246,230.610,15.400,21.000,0.000,0.000
31/12/2007,2.608,0.078,234.360,11.000,0.000,0.000,17.000
29/7/2007,0.198,0.122,236.970,1.000,0.000,0.000,0.000
5/2/2008,0.302,0.000,247.710,1.200,0.000,0.000,0.000
