date,Usage_kWh,WeekStatus,Day_of_week,Load_Type,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh
29/04/2018 07:15,2.88,Weekend,Sunday,Light_Load,3.82,0.00
04/10/2018 12:00,60.77,Weekday,Thursday,Maximum_Load,48.02,0.00
26/01/2018 11:30,120.42,Weekday,Friday,Maximum_Load,59.65,0.00
02/06/2018 14:30,3.13,Weekend,Saturday,Light_Load,0.00,16.60
07/12/2018 15:00,58.86,Weekday,Friday,Medium_Load,20.99,0.00
26/03/2018 06:00,3.10,Weekday,Monday,Light_Load,3.49,0.00
18/12/2018 13:00,9.40,Weekday,Tuesday,Medium_Load,0.00,20.52
18/04/2018 00:45,3.60,Weekday,Wednesday,Light_Load,3.35,0.00
23/11/2018 23:30,4.61,Weekday,Friday,Light_Load,2.20,0.07
08/12/2018 00:00,3.78,Weekend,Saturday,Light_Load,3.13,0.11
15/07/2018 04:30,2.84,Weekend,Sunday,Light_Load,5.26,0.00
23/05/2018 06:00,3.02,Weekday,Wednesday,Light_Load,5.26,0.00
26/07/2018 23:15,2.84,Weekday,Thursday,Light_Load,5.36,0.00
08/11/2018 17:15,64.84,Weekday,Thursday,Maximum_Load,51.37,0.00
28/10/2018 01:30,2.81,Weekend,Sunday,Light_Load,5.18,0.00
05/01/2018 14:30,87.05,Weekday,Friday,Medium_Load,36.65,0.00
24/11/2018 04:30,3.64,Weekend,Saturday,Light_Load,3.20,0.00
15/10/2018 16:15,111.20,Weekday,Monday,Maximum_Load,52.49,0.00
14/08/2018 12:00,72.86,Weekday,Tuesday,Maximum_Load,56.99,0.00
25/05/2018 19:45,37.80,Weekday,Friday,Medium_Load,2.20,0.40
19/01/2018 01:00,53.93,Weekday,Friday,Light_Load,32.47,0.00
18/05/2018 15:45,58.93,Weekday,Friday,Maximum_Load,30.38,0.00
26/09/2018 04:45,2.59,Weekday,Wednesday,Light_Load,5.36,0.00
19/05/2018 19:45,3.71,Weekend,Saturday,Medium_Load,0.00,20.16
13/06/2018 16:45,3.42,Weekday,Wednesday,Maximum_Load,0.00,19.48
14/06/2018 03:00,2.88,Weekday,Thursday,Light_Load,4.14,0.00
28/12/2018 11:30,64.94,Weekday,Friday,Maximum_Load,29.56,0.00
18/01/2018 09:15,97.13,Weekday,Thursday,Medium_Load,43.92,0.00
24/12/2018 16:30,69.55,Weekday,Monday,Medium_Load,29.77,0.00
24/06/2018 03:15,2.59,Weekend,Sunday,Light_Load,3.38,0.00
25/02/2018 11:30,4.68,Weekend,Sunday,Light_Load,0.00,6.34
03/01/2018 20:30,37.30,Weekday,Wednesday,Medium_Load,2.88,1.22
12/10/2018 23:45,3.49,Weekday,Friday,Light_Load,6.26,0.00
14/09/2018 01:30,3.53,Weekday,Friday,Light_Load,4.93,0.00
05/04/2018 03:45,3.10,Weekday,Thursday,Light_Load,3.71,0.00
03/07/2018 07:30,3.53,Weekday,Tuesday,Light_Load,5.26,0.00
17/09/2018 09:00,56.34,Weekday,Monday,Light_Load,31.25,0.00
06/12/2018 04:15,3.31,Weekday,Thursday,Light_Load,2.77,0.00
15/03/2018 06:30,3.38,Weekday,Thursday,Light_Load,5.76,0.00
01/08/2018 06:30,2.66,Weekday,Wednesday,Light_Load,4.79,0.00
12/07/2018 01:00,2.99,Weekday,Thursday,Light_Load,4.82,0.00
24/05/2018 21:45,8.39,Weekday,Thursday,Medium_Load,0.00,22.79
08/05/2018 23:30,3.60,Weekday,Tuesday,Light_Load,3.31,0.00
15/07/2018 22:15,4.72,Weekend,Sunday,Medium_Load,0.00,22.10
